cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:           3042000084
 a: add:          15246329968 size:           6084000168
 x: add:          21330330136 size:             12000016
 z: add:          21342330152 size:             12000016
 p: add:          21354330168 size:             12000016
 r: add:          21378330200 size:             12000016
 q: add:          21366330184 size:             12000016
loc(sm) = 0x4fd980e00	loc(add)=0x7fff01979948


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:     1
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x4fd980e00

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x4fd980e00
stop loc(add)0x4fd980e00

Memory read sampling results
pc=40293c, @=21356104376, src level=L3 Hit, latency=49
pc=402942, @=140733220095368, src level=L1 Hit, latency=122
pc=402942, @=140733220095368, src level=L1 Hit, latency=163
pc=402942, @=140733220095368, src level=L1 Hit, latency=124
pc=402942, @=140733220095368, src level=L1 Hit, latency=31
pc=40293c, @=21363441376, src level=L3 Hit, latency=93
pc=402942, @=140733220095368, src level=L1 Hit, latency=198
pc=402942, @=140733220095368, src level=L1 Hit, latency=146
pc=40293c, @=21362604776, src level=L3 Hit, latency=39
pc=40293c, @=21358649592, src level=L3 Hit, latency=45
pc=40293c, @=21363748336, src level=L3 Hit, latency=49
pc=40293c, @=21361281776, src level=L3 Hit, latency=42
pc=40293c, @=21366131936, src level=L3 Hit, latency=48
pc=402958, @=140733220095368, src level=L1 Hit, latency=136
pc=402942, @=140733220095368, src level=L1 Hit, latency=150
pc=40293c, @=21360747112, src level=L3 Hit, latency=94
pc=402942, @=140733220095368, src level=L1 Hit, latency=212
pc=40293c, @=21357235936, src level=L3 Hit, latency=42
pc=40293c, @=21360335472, src level=L3 Hit, latency=46
pc=40293c, @=21359959880, src level=L2 Hit, latency=34
