cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:           3042000084
 a: add:          15246329968 size:           6084000168
 x: add:          21330330136 size:             12000016
 z: add:          21342330152 size:             12000016
 p: add:          21354330168 size:             12000016
 r: add:          21378330200 size:             12000016
 q: add:          21366330184 size:             12000016
loc(sm) = 0x4fd694e20	loc(add)=0x7ffcc49631a8


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:     1
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x4fd694e20

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x4fd694e20
stop loc(add)0x4fd694e20

Memory read sampling results
pc=402942, @=140723606658536, src level=L1 Hit, latency=153
pc=40293c, @=21358339456, src level=L3 Hit, latency=49
pc=40293c, @=21356903784, src level=L3 Hit, latency=50
pc=402942, @=140723606658536, src level=L1 Hit, latency=153
pc=402942, @=140723606658536, src level=L1 Hit, latency=224
pc=40293c, @=21362645224, src level=L3 Hit, latency=56
pc=40293c, @=21363847632, src level=L3 Hit, latency=62
pc=40293c, @=21355292888, src level=L3 Hit, latency=55
pc=402942, @=140723606658536, src level=L1 Hit, latency=133
pc=402936, @=15288308480, src level=LFB Hit, latency=89
pc=402942, @=140723606658536, src level=L1 Hit, latency=157
pc=402936, @=15289077584, src level=LFB Hit, latency=143
pc=402932, @=27900692, src level=LFB Hit, latency=355
pc=402936, @=15289849896, src level=LFB Hit, latency=370
pc=402936, @=15290228008, src level=LFB Hit, latency=68
pc=402942, @=140723606658536, src level=L1 Hit, latency=153
pc=402936, @=15291004304, src level=LFB Hit, latency=73
pc=402942, @=140723606658536, src level=L1 Hit, latency=198
pc=402936, @=15291782472, src level=LFB Hit, latency=106
pc=40293c, @=21358182744, src level=L3 Hit, latency=67
pc=402932, @=29435392, src level=LFB Hit, latency=567
pc=402936, @=15292925640, src level=LFB Hit, latency=222
pc=402936, @=15293301264, src level=LFB Hit, latency=73
pc=402936, @=15293665704, src level=LFB Hit, latency=178
pc=402942, @=140723606658536, src level=L1 Hit, latency=241
pc=40293c, @=21360235904, src level=L3 Hit, latency=56
pc=402936, @=15294840888, src level=LFB Hit, latency=149
pc=40293c, @=21365299320, src level=L3 Hit, latency=49
pc=40293c, @=21360837800, src level=L3 Hit, latency=56
pc=40293c, @=21364060552, src level=L3 Hit, latency=48
pc=402942, @=140723606658536, src level=L1 Hit, latency=152
pc=402942, @=140723606658536, src level=L1 Hit, latency=165
pc=40293c, @=21355427864, src level=L3 Hit, latency=78
pc=40293c, @=21355737368, src level=L3 Hit, latency=85
pc=40293c, @=21360528936, src level=L3 Hit, latency=65
pc=402936, @=15298408320, src level=LFB Hit, latency=237
pc=402942, @=140723606658536, src level=L1 Hit, latency=448
pc=402942, @=140723606658536, src level=L1 Hit, latency=139
pc=40293c, @=21365602744, src level=L3 Hit, latency=54
pc=402942, @=140723606658536, src level=L1 Hit, latency=154
pc=402942, @=140723606658536, src level=L1 Hit, latency=379
pc=402942, @=140723606658536, src level=L1 Hit, latency=178
pc=402936, @=15301099840, src level=LFB Hit, latency=217
pc=402942, @=140723606658536, src level=L1 Hit, latency=369
pc=402942, @=140723606658536, src level=L1 Hit, latency=134
pc=40293c, @=21356932096, src level=L3 Hit, latency=88
pc=402942, @=140723606658536, src level=L1 Hit, latency=119
pc=402936, @=15303030184, src level=LFB Hit, latency=143
pc=402942, @=140723606658536, src level=L1 Hit, latency=158
pc=40293c, @=21356649224, src level=L3 Hit, latency=54
pc=402942, @=140723606658536, src level=L1 Hit, latency=155
pc=40293c, @=21365582872, src level=L3 Hit, latency=49
pc=402942, @=140723606658536, src level=L1 Hit, latency=184
pc=402942, @=140723606658536, src level=L1 Hit, latency=145
pc=40293c, @=21361212984, src level=L3 Hit, latency=46
pc=402942, @=140723606658536, src level=L1 Hit, latency=152
pc=40293c, @=21356196448, src level=L3 Hit, latency=45
pc=402915, @=3048394852, src level=LFB Hit, latency=61
pc=402942, @=140723606658536, src level=L1 Hit, latency=415
pc=40293c, @=21356502968, src level=L3 Hit, latency=55
pc=402942, @=140723606658536, src level=L1 Hit, latency=156
pc=402936, @=15308415624, src level=LFB Hit, latency=263
pc=402936, @=15308798272, src level=LFB Hit, latency=170
pc=402936, @=15309170984, src level=LFB Hit, latency=316
pc=40293c, @=21358009816, src level=L3 Hit, latency=44
pc=40293c, @=21356481664, src level=L3 Hit, latency=81
pc=40293c, @=21363450112, src level=L3 Hit, latency=96
pc=40293c, @=21359288920, src level=L3 Hit, latency=78
pc=40293c, @=21362708312, src level=L3 Hit, latency=83
pc=40293c, @=21364779200, src level=L3 Hit, latency=64
pc=40293c, @=21360369736, src level=L3 Hit, latency=44
pc=40293c, @=21362868840, src level=L3 Hit, latency=44
pc=40293c, @=21357454432, src level=L3 Hit, latency=43
pc=402942, @=140723606658536, src level=L1 Hit, latency=152
pc=402942, @=140723606658536, src level=L1 Hit, latency=264
pc=40293c, @=21354962536, src level=L3 Hit, latency=51
pc=402942, @=140723606658536, src level=L1 Hit, latency=153
pc=40293c, @=21359162328, src level=L3 Hit, latency=75
pc=402942, @=140723606658536, src level=L1 Hit, latency=136
pc=40293c, @=21359640096, src level=L3 Hit, latency=58
pc=402942, @=140723606658536, src level=L1 Hit, latency=292
pc=402942, @=140723606658536, src level=L1 Hit, latency=154
pc=402942, @=140723606658536, src level=L1 Hit, latency=169
pc=402942, @=140723606658536, src level=L1 Hit, latency=139
pc=40293c, @=21362420032, src level=L3 Hit, latency=56
pc=402936, @=15317487864, src level=LFB Hit, latency=154
pc=402942, @=140723606658536, src level=L1 Hit, latency=135
pc=402942, @=140723606658536, src level=L1 Hit, latency=362
pc=40293c, @=21357936280, src level=L3 Hit, latency=50
pc=402942, @=140723606658536, src level=L1 Hit, latency=150
pc=402942, @=140723606658536, src level=L1 Hit, latency=146
pc=40293c, @=21359464336, src level=L3 Hit, latency=45
pc=40293c, @=21360803376, src level=L3 Hit, latency=45
pc=402942, @=140723606658536, src level=L1 Hit, latency=458
pc=402936, @=15320880160, src level=LFB Hit, latency=76
pc=402942, @=140723606658536, src level=L1 Hit, latency=185
pc=402942, @=140723606658536, src level=L1 Hit, latency=146
pc=40293c, @=21362114248, src level=L3 Hit, latency=58
pc=402942, @=140723606658536, src level=L1 Hit, latency=313
pc=402942, @=140723606658536, src level=L1 Hit, latency=368
pc=402932, @=44748268, src level=L1 Hit, latency=80
pc=40293c, @=21363834832, src level=L3 Hit, latency=63
pc=40293c, @=21364475688, src level=L3 Hit, latency=63
pc=402936, @=15324294944, src level=LFB Hit, latency=265
pc=40293c, @=21355136184, src level=L3 Hit, latency=48
pc=402942, @=140723606658536, src level=L1 Hit, latency=151
pc=402942, @=140723606658536, src level=L1 Hit, latency=224
pc=40293c, @=21359661264, src level=L3 Hit, latency=52
pc=402942, @=140723606658536, src level=L1 Hit, latency=255
pc=402942, @=140723606658536, src level=L1 Hit, latency=147
pc=402936, @=15326952224, src level=LFB Hit, latency=112
pc=402936, @=15327350408, src level=LFB Hit, latency=134
pc=40293c, @=21364245800, src level=L3 Hit, latency=43
pc=40293c, @=21361818176, src level=L3 Hit, latency=65
pc=402936, @=15328505976, src level=LFB Hit, latency=261
pc=402942, @=140723606658536, src level=L1 Hit, latency=123
pc=402932, @=47788064, src level=LFB Hit, latency=62
pc=402942, @=140723606658536, src level=L1 Hit, latency=229
pc=40293c, @=21363067816, src level=L3 Hit, latency=60
pc=402936, @=15330362240, src level=Remote RAM 1 hop Hit, latency=973
pc=40293c, @=21358790888, src level=L3 Hit, latency=45
pc=402942, @=140723606658536, src level=L1 Hit, latency=169
pc=402936, @=15331487256, src level=LFB Hit, latency=202
pc=402942, @=140723606658536, src level=L1 Hit, latency=260
pc=402942, @=140723606658536, src level=L1 Hit, latency=380
pc=40293c, @=21361631744, src level=L3 Hit, latency=44
pc=402936, @=15332989008, src level=LFB Hit, latency=139
pc=40293c, @=21362436680, src level=L3 Hit, latency=59
pc=40293c, @=21360882872, src level=L3 Hit, latency=53
pc=402936, @=15334107072, src level=LFB Hit, latency=310
pc=402942, @=140723606658536, src level=L1 Hit, latency=118
pc=402942, @=140723606658536, src level=L1 Hit, latency=150
pc=402936, @=15335288192, src level=Local RAM Hit, latency=237
pc=402932, @=51002012, src level=LFB Hit, latency=53
pc=40293c, @=21362696488, src level=L3 Hit, latency=61
pc=40293c, @=21358272184, src level=L3 Hit, latency=78
pc=40293c, @=21354943640, src level=L3 Hit, latency=98
pc=402942, @=140723606658536, src level=L1 Hit, latency=131
pc=40293c, @=21356876464, src level=L3 Hit, latency=45
pc=402936, @=15337920320, src level=LFB Hit, latency=197
pc=402942, @=140723606658536, src level=L1 Hit, latency=156
pc=402936, @=15338649952, src level=LFB Hit, latency=144
pc=40293c, @=21364966864, src level=L3 Hit, latency=46
pc=40293c, @=21360987544, src level=L3 Hit, latency=73
pc=402942, @=140723606658536, src level=L1 Hit, latency=211
pc=402936, @=15340178400, src level=LFB Hit, latency=142
pc=402942, @=140723606658536, src level=L1 Hit, latency=365
pc=402936, @=15340932032, src level=LFB Hit, latency=172
pc=40293c, @=21356067680, src level=L3 Hit, latency=47
pc=402936, @=15341674688, src level=LFB Hit, latency=85
pc=40293c, @=21355739088, src level=L3 Hit, latency=57
pc=40293c, @=21358907464, src level=L3 Hit, latency=52
pc=40293c, @=21359218848, src level=L3 Hit, latency=48
pc=402936, @=15343177520, src level=LFB Hit, latency=83
pc=402942, @=140723606658536, src level=L1 Hit, latency=367
pc=402942, @=140723606658536, src level=L1 Hit, latency=147
pc=402942, @=140723606658536, src level=L1 Hit, latency=249
pc=402936, @=15344674808, src level=LFB Hit, latency=284
