cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:            163800060
 a: add:            828329824 size:            327600120
 x: add:           1155929944 size:              1200016
 z: add:           1157129960 size:              1200016
 p: add:           1158329976 size:              1200016
 r: add:           1160730008 size:              1200016
 q: add:           1159529992 size:              1200016
loc(sm) = 0x45853e00	loc(add)=0x7ffd0d3c10a8


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:     150000
 Iterations:    75
 Number of active processes:     1
 Number of nonzeroes per row:       15
 Eigenvalue shift: .110E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x45853e00

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x45853e00
stop loc(add)0x45853e00

Memory read sampling results
pc=402936, @=865481176, src level=LFB Hit, latency=204
pc=40293c, @=1158637208, src level=L3 Hit, latency=39
pc=402942, @=140724825488616, src level=L1 Hit, latency=141
pc=40293c, @=1158517120, src level=L3 Hit, latency=38
pc=402942, @=140724825488616, src level=L1 Hit, latency=87
pc=402936, @=867407432, src level=LFB Hit, latency=89
pc=402936, @=867791632, src level=LFB Hit, latency=201
pc=402942, @=140724825488616, src level=L1 Hit, latency=157
pc=402936, @=868540616, src level=LFB Hit, latency=126
pc=402942, @=140724825488616, src level=L1 Hit, latency=152
pc=40293c, @=1159432160, src level=L3 Hit, latency=56
pc=40293c, @=1158902144, src level=L3 Hit, latency=37
pc=402942, @=140724825488616, src level=L1 Hit, latency=178
pc=40293c, @=1158904264, src level=L3 Hit, latency=63
pc=402942, @=140724825488616, src level=L1 Hit, latency=151
pc=402942, @=140724825488616, src level=L1 Hit, latency=135
pc=402942, @=140724825488616, src level=L1 Hit, latency=216
pc=402942, @=140724825488616, src level=L1 Hit, latency=207
pc=402936, @=872350656, src level=LFB Hit, latency=34
pc=40293c, @=1159375296, src level=L3 Hit, latency=96
pc=40293c, @=1159397832, src level=L3 Hit, latency=59
pc=40293c, @=1158504720, src level=L3 Hit, latency=37
pc=40293c, @=1159187120, src level=L3 Hit, latency=41
pc=402936, @=874244032, src level=Local RAM Hit, latency=243
pc=40293c, @=1158765520, src level=L3 Hit, latency=42
pc=402932, @=29680136, src level=LFB Hit, latency=201
pc=402936, @=875413480, src level=LFB Hit, latency=60
pc=40293c, @=1159019360, src level=L3 Hit, latency=38
pc=40293c, @=1158361856, src level=L3 Hit, latency=49
pc=40293c, @=1158528776, src level=L3 Hit, latency=58
pc=402942, @=140724825488616, src level=L1 Hit, latency=195
pc=40293c, @=1158519040, src level=L3 Hit, latency=44
pc=402936, @=877690336, src level=LFB Hit, latency=87
pc=402942, @=140724825488616, src level=L1 Hit, latency=195
pc=402942, @=140724825488616, src level=L1 Hit, latency=240
pc=40293c, @=1159520568, src level=L3 Hit, latency=40
pc=40293c, @=1159123328, src level=L3 Hit, latency=42
pc=402942, @=140724825488616, src level=L1 Hit, latency=131
pc=402942, @=140724825488616, src level=L1 Hit, latency=222
pc=40293c, @=1159304560, src level=L3 Hit, latency=40
pc=402932, @=32559700, src level=LFB Hit, latency=177
pc=402942, @=140724825488616, src level=L1 Hit, latency=140
pc=40293c, @=1158338568, src level=L3 Hit, latency=37
pc=402936, @=881908368, src level=LFB Hit, latency=222
pc=402932, @=33309696, src level=Local RAM Hit, latency=239
pc=402942, @=140724825488616, src level=L1 Hit, latency=173
pc=402942, @=140724825488616, src level=L1 Hit, latency=234
pc=402942, @=140724825488616, src level=L1 Hit, latency=154
pc=402936, @=883822168, src level=LFB Hit, latency=32
pc=402936, @=884203232, src level=LFB Hit, latency=211
pc=402942, @=140724825488616, src level=L1 Hit, latency=186
pc=40293c, @=1158337696, src level=L3 Hit, latency=54
pc=402936, @=885363960, src level=LFB Hit, latency=147
pc=402936, @=885747960, src level=LFB Hit, latency=32
pc=402942, @=140724825488616, src level=L1 Hit, latency=155
pc=40293c, @=1158838872, src level=L3 Hit, latency=42
pc=402942, @=140724825488616, src level=L1 Hit, latency=233
pc=402936, @=887266824, src level=LFB Hit, latency=99
pc=402936, @=887653168, src level=LFB Hit, latency=53
pc=402936, @=888035864, src level=LFB Hit, latency=36
pc=402942, @=140724825488616, src level=L1 Hit, latency=138
pc=402936, @=888807032, src level=LFB Hit, latency=130
pc=402942, @=140724825488616, src level=L1 Hit, latency=126
pc=402936, @=889573600, src level=LFB Hit, latency=179
pc=40293c, @=1159108216, src level=L3 Hit, latency=52
pc=40293c, @=1158951056, src level=L3 Hit, latency=38
pc=402942, @=140724825488616, src level=L1 Hit, latency=139
pc=40293c, @=1159445664, src level=L3 Hit, latency=43
pc=40293c, @=1159417736, src level=L3 Hit, latency=43
pc=402942, @=140724825488616, src level=L1 Hit, latency=144
pc=402942, @=140724825488616, src level=L1 Hit, latency=154
pc=402936, @=892606088, src level=LFB Hit, latency=218
pc=40293c, @=1158971968, src level=L3 Hit, latency=41
pc=402942, @=140724825488616, src level=L1 Hit, latency=243
pc=402936, @=893764544, src level=LFB Hit, latency=120
pc=402936, @=894156120, src level=LFB Hit, latency=98
pc=402936, @=894527296, src level=LFB Hit, latency=26
pc=402942, @=140724825488616, src level=L1 Hit, latency=147
pc=402936, @=895290368, src level=LFB Hit, latency=47
pc=402936, @=895683024, src level=LFB Hit, latency=55
